Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Dexter Fowler,Cardinals,130,555,473,111,24,2,17,64,58,68,135,6,8,3,,0.235,0.336,0.399,0.734,0.317,,97,0.8,-3.4,,-1.5,-8.8,0.7,4062
Enrique Hernandez,Dodgers,63,260,229,56,12,1,10,32,33,25,53,2,2,1,,0.246,0.324,0.444,0.768,0.323,,102,0.5,0.2,,1.1,-2,0.7,10472
Chris Taylor,Dodgers,74,311,276,67,17,2,8,36,33,28,86,3,5,2,,0.243,0.318,0.405,0.723,0.308,,92,1.1,-0.2,,-2.2,-2.4,0.5,13757
Ender Inciarte,Braves,70,301,269,71,13,2,5,34,28,25,46,2,9,4,,0.265,0.33,0.387,0.717,0.308,,86,1.3,0.5,,-4.1,-0.6,0.5,4922
Brett Phillips,Royals,92,369,322,68,11,5,10,39,37,39,125,3,9,3,,0.21,0.299,0.367,0.666,0.287,,74,0.9,5.5,,-11.4,3.3,0.5,14735
JaCoby Jones,Tigers,134,552,496,116,25,4,16,62,58,39,162,9,12,4,,0.233,0.299,0.396,0.694,0.295,,80,1.1,-4.2,,-12.7,-2,0.5,14818
Jarrod Dyson,,68,291,257,61,11,1,5,32,25,27,54,3,15,4,,0.236,0.313,0.345,0.658,0.287,,75,2,2.9,,-7.4,2,0.4,4866
Leury Garcia,White Sox,97,434,404,105,18,2,8,49,39,18,100,6,10,4,,0.261,0.3,0.374,0.674,0.289,,79,1,0.1,,-10.5,-0.8,0.4,5913
Aaron Hicks,Yankees,16,70,60,14,3,0,3,9,9,9,16,0,1,0,,0.24,0.341,0.438,0.779,0.332,,107,0.2,-0.1,,0.8,0.2,0.3,5297
Cameron Maybin,,81,328,287,71,15,1,7,35,34,34,79,2,10,4,,0.248,0.33,0.382,0.713,0.309,,89,0.4,-0.5,,-4.1,-3.6,0.3,5223
Randy Arozarena,Rays,34,137,122,31,6,1,4,16,15,10,30,3,5,2,,0.256,0.323,0.41,0.732,0.312,,97,0.1,0.4,,-0.5,-0.9,0.3,19290
Teoscar Hernandez,Blue Jays,113,475,424,98,21,3,22,58,62,42,147,3,7,3,,0.23,0.302,0.443,0.745,0.312,,94,0.2,-3.6,,-3.7,-10,0.3,13066
Delino DeShields,Indians,52,219,192,45,9,1,3,25,19,22,54,2,11,4,,0.232,0.313,0.34,0.653,0.286,,72,1.6,-0.2,,-6.3,0.7,0.2,11379
Steven Duggar,Giants,71,301,270,65,14,2,5,29,26,25,85,2,6,3,,0.242,0.307,0.361,0.668,0.289,,79,0.4,-0.9,,-7.9,0.3,0.2,17719
Jake Fraley,Mariners,75,300,274,66,15,2,8,32,33,18,71,4,9,4,,0.243,0.297,0.4,0.697,0.294,,85,0.2,0,,-5.5,-3.1,0.2,19260
Albert Almora Jr.,Cubs,60,248,230,61,12,1,6,27,28,13,44,1,2,1,,0.266,0.308,0.411,0.719,0.302,,84,-0.3,-0.5,,-5.4,-0.8,0.2,14109
Lane Thomas,Cardinals,48,192,173,42,8,1,7,21,23,15,50,2,5,2,,0.244,0.308,0.418,0.725,0.308,,91,0.1,0.7,,-2.2,-2.4,0.2,16939
Jake Cave,Twins,23,91,82,21,4,1,3,11,11,6,26,1,1,0,,0.256,0.315,0.423,0.738,0.312,,92,0.1,-0.1,,-0.8,-0.9,0.1,14477
Billy Hamilton,,42,170,152,35,6,2,1,16,13,14,40,1,10,2,,0.227,0.293,0.31,0.603,0.265,,63,1.7,1.6,,-6.5,2.3,0.1,10199
Jake Marisnick,Mets,74,290,262,57,12,1,10,31,33,18,91,5,7,3,,0.218,0.279,0.389,0.668,0.283,,77,1,0,,-7.8,-0.6,0.1,11339
Jonathan Davis,Blue Jays,26,106,94,21,5,1,2,11,10,8,27,2,3,1,,0.226,0.304,0.358,0.662,0.287,,77,0.1,-0.3,,-3.1,0.2,0.1,15104
Juan Lagares,,53,216,196,48,10,1,4,21,21,15,52,2,3,1,,0.247,0.304,0.371,0.674,0.286,,75,0.3,-0.6,,-6.9,0.3,0.1,5384
LaMonte Wade,Twins,8,33,28,7,1,0,1,4,3,4,6,0,0,0,,0.256,0.345,0.381,0.726,0.316,,95,0,-0.3,,-0.2,-0.4,0.1,18126
Bradley Zimmer,Indians,11,46,41,9,2,0,1,5,5,4,15,1,1,0,,0.23,0.302,0.382,0.683,0.293,,76,0.2,0.3,,-1.3,0.2,0.1,16221
Brian O'Grady,Rays,6,26,23,5,1,0,1,3,3,2,8,0,1,0,,0.221,0.295,0.399,0.694,0.294,,85,0,0.1,,-0.5,0,0,16729
Scott Heineman,Rangers,29,119,107,27,5,1,3,13,13,9,30,1,2,1,,0.258,0.322,0.395,0.717,0.308,,81,-0.1,0.1,,-2.9,-0.9,0,14453
Adam Engel,White Sox,36,138,125,28,6,1,3,14,14,9,40,2,3,1,,0.221,0.282,0.352,0.634,0.273,,69,0.5,-0.3,,-5,0.3,0,15082
