"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Rowdy Tellez","Blue Jays","75","311","279","70","16","0","14","38","43","25","77","3","2","1","",".251",".317",".463",".780",".326","","103","0.0","0.4","","1.0","-6.9","0.5","","566.6","15679"
"Mike Ford","Yankees","37","150","131","33","6","0","8","21","22","16","29","2","1","0","",".255",".340",".487",".827",".345","","116","0.1","-0.3","","3.1","-3.4","0.5","","591.0","15585"
"Jose Martinez","Rays","71","301","269","73","13","1","9","36","36","27","65","2","2","1","",".270",".338",".427",".766",".326","","106","-0.2","-0.2","","2.2","-8.1","0.5","","550.7","7996"
"Garrett Cooper","Marlins","70","298","269","71","14","1","9","32","36","23","74","3","1","0","",".263",".325",".424",".749",".318","","99","-0.4","0.3","","-0.9","-5.1","0.4","","531.0","15279"
"Jake Bauers","Indians","49","201","174","42","10","0","7","24","24","23","49","2","4","2","",".242",".333",".416",".749",".321","","95","0.4","0.0","","-0.8","-2.9","0.3","","577.6","15194"
"Wil Myers","Padres","95","400","352","81","18","1","15","47","47","40","124","3","11","4","",".229",".311",".416",".728",".309","","91","0.9","-0.6","","-3.7","-6.1","0.3","","259.3","10047"
"Ryan Zimmerman","Nationals","67","279","251","66","14","1","13","34","41","22","59","2","1","0","",".263",".327",".475",".802",".336","","104","-0.1","-0.9","","1.2","-7.1","0.3","","578.2","4220"
"Daniel Murphy","Rockies","118","498","454","131","31","2","18","63","72","35","76","3","2","1","",".288",".341",".483",".824",".344","","97","-0.8","-0.8","","-2.7","-10.7","0.3","","271.4","4316"
"Eric Thames","Nationals","104","424","367","87","18","2","19","51","56","47","129","6","4","2","",".237",".330",".448",".779",".327","","98","0.2","-1.7","","-0.9","-10.2","0.3","","515.6","3711"
"Ryan O'Hearn","Royals","102","409","361","85","18","2","17","47","52","40","109","3","1","1","",".235",".314",".436",".750",".316","","94","-0.3","-0.5","","-3.5","-9.0","0.2","","562.5","16442"
"Nathaniel Lowe","","13","54","47","12","2","0","2","7","7","6","12","0","0","0","",".263",".344",".458",".802",".339","","115","0.1","0.0","","1.1","-1.2","0.2","","565.7","19566"
"Matt Beaty","Dodgers","38","154","141","39","8","0","5","18","20","10","22","2","2","1","",".275",".327",".442",".769",".324","","102","0.0","-0.8","","0.4","-3.8","0.2","","590.1","17710"
"Ronald Guzman","Rangers","97","374","329","81","17","1","14","45","45","35","96","4","3","1","",".246",".325",".425",".750",".318","","88","-0.2","2.4","","-5.9","-5.7","0.2","","600.9","14388"
"Jose Osuna","Pirates","63","254","233","62","15","1","8","28","32","17","49","2","2","1","",".266",".317",".441",".758",".320","","97","-0.2","-1.5","","-1.2","-5.5","0.2","","595.2","12937"
