Rank,Player/Team/Pos,Player,Team/Pos,H,R,RBI,BB,K,SB,Tot,Avg,
225,"Ryon Healy
Mil3B",Ryon Healy,Mil3B,99,50,62,22,96,0,137,1.3,137
226,"Scott Kingery
PhiOF, 3B",Scott Kingery,"PhiOF, 3B",114,63,49,30,132,12,136,1,136
227,"Niko Goodrum
DetSS, 2B, OF",Niko Goodrum,"DetSS, 2B, OF",111,63,53,44,144,9,136,1.1,136
228,"Melky Cabrera
FAOF",Melky Cabrera,FAOF,83,34,40,15,37,1,--,1.5,136
229,"Shed Long
Sea2B",Shed Long,Sea2B,114,66,54,50,154,5,135,1.1,135
230,"Jarred Kelenic
SeaOF",Jarred Kelenic,SeaOF,82,37,58,24,76,10,135,1.8,135
231,"Tucker Barnhart
CinC",Tucker Barnhart,CinC,90,35,42,47,82,1,133,1.1,133
232,"Jackie Bradley Jr.
BosOF",Jackie Bradley Jr.,BosOF,98,56,51,45,126,6,130,1.1,130
233,"Yoshitomo Tsutsugo
TBOF",Yoshitomo Tsutsugo,TBOF,93,49,53,55,120,0,130,1.2,130
234,"Dexter Fowler
StLOF",Dexter Fowler,StLOF,77,48,45,50,95,4,129,1.3,129
235,"Domingo Santana
CleOF",Domingo Santana,CleOF,106,58,62,50,153,5,128,1,128
236,"Austin Riley
AtlOF",Austin Riley,AtlOF,107,68,77,34,158,0,128,1.1,128
237,"Jose Peraza
Bos2B, SS, OF",Jose Peraza,"Bos2B, SS, OF",90,35,27,13,44,7,128,1.3,128
238,"Mike Tauchman
NYYOF",Mike Tauchman,NYYOF,75,44,41,32,70,5,127,1.4,127
239,"Garrett Cooper
Mia1B, OF",Garrett Cooper,"Mia1B, OF",93,47,49,29,92,0,126,1.3,126
240,"Kurt Suzuki
WshC",Kurt Suzuki,WshC,65,31,46,16,32,0,126,1.7,126
241,"Alec Bohm
Phi3B",Alec Bohm,Phi3B,72,39,43,25,54,1,126,1.8,126
242,"Cole Tucker
PitSS",Cole Tucker,PitSS,89,49,31,36,88,9,126,1.2,126
243,"Hunter Renfroe
TBOF",Hunter Renfroe,TBOF,111,64,69,40,163,4,125,0.8,125
244,"Chris Taylor
LADOF, 2B, SS",Chris Taylor,"LADOF, 2B, SS",89,53,48,34,106,6,124,1.2,124
245,"Kevin Pillar
BosOF",Kevin Pillar,BosOF,78,39,37,10,47,6,123,1.6,123
246,"Ian Desmond
ColOF",Ian Desmond,ColOF,86,47,48,27,91,5,122,1.2,122
247,"Christin Stewart
DetOF",Christin Stewart,DetOF,96,45,54,47,121,1,122,1.1,122
248,"DJ Stewart
BalOF",DJ Stewart,BalOF,72,44,47,39,84,4,122,1.3,122
249,"Harrison Bader
StLOF",Harrison Bader,StLOF,88,62,43,41,123,10,121,0.9,121
250,"Jarrod Dyson
PitOF",Jarrod Dyson,PitOF,65,44,19,32,58,19,121,1.3,121
