"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Tommy Edman","Cardinals","115","465","428","118","21","5","10","47","53","27","78","5","13","5","",".275",".322",".421",".743",".315","","96","1.8","0.7","","-0.9","-2.0","1.2","","131.3","19470"
"Rio Ruiz","Orioles","100","415","372","93","17","2","13","44","47","37","90","2","2","1","",".249",".317",".407",".724",".309","","89","-0.3","0.5","","-6.0","2.1","1.0","","599.2","14103"
"Nicholas Castellanos","Reds","139","598","543","148","40","2","25","77","86","43","139","5","3","1","",".273",".329",".492",".821",".342","","108","-0.3","-8.4","","5.7","-15.4","0.9","","86.6","11737"
"Wilmer Flores","Giants","79","328","300","84","18","1","12","38","43","20","39","4","1","0","",".281",".332",".463",".795",".334","","109","-1.1","-2.0","","2.8","-4.5","0.9","","584.6","5827"
"Miguel Andujar","Yankees","122","498","462","125","27","1","22","62","72","26","83","4","3","1","",".270",".312",".475",".787",".328","","104","0.3","-4.7","","2.8","-12.6","0.8","","254.2","15878"
"Asdrubal Cabrera","Nationals","64","269","240","64","14","1","9","32","34","23","54","2","1","1","",".265",".334",".439",".773",".327","","98","-1.2","-0.4","","-1.9","-0.9","0.6","","518.6","4962"
"Colin Moran","Pirates","104","429","388","104","20","1","13","45","52","32","91","3","1","1","",".268",".327",".424",".751",".317","","95","-1.1","-5.5","","-3.8","-4.4","0.6","","573.7","16909"
"Jedd Gyorko","Brewers","60","245","216","53","9","1","11","30","33","25","56","2","2","1","",".246",".325",".449",".774",".327","","99","-0.6","-0.7","","-0.9","-1.4","0.5","","598.3","10816"
"Jake Lamb","Diamondbacks","70","292","249","58","13","2","11","34","36","36","76","3","2","1","",".234",".336",".432",".768",".326","","99","0.6","-0.5","","0.2","-4.7","0.5","","558.6","13329"
"Renato Nunez","Orioles","139","597","539","133","25","1","28","71","83","45","147","7","2","1","",".247",".311",".454",".765",".321","","97","-0.3","0.1","","-2.2","-14.5","0.4","","288.9","14503"
"Brandon Drury","Blue Jays","83","334","303","73","18","1","10","37","38","24","81","3","2","1","",".241",".300",".407",".707",".300","","85","-0.2","-0.1","","-6.6","-1.1","0.4","","597.8","11615"
"Daniel Robertson","Rays","32","134","115","27","5","0","3","14","13","14","32","3","1","1","",".237",".330",".359",".689",".302","","90","-0.1","-0.3","","-1.8","0.2","0.3","","999.0","14145"
"David Bote","Cubs","66","263","230","56","11","1","8","29","30","25","68","4","3","1","",".241",".323",".403",".726",".309","","89","0.4","-0.9","","-3.6","-2.1","0.3","","577.3","14593"
"Abraham Toro","Astros","16","65","58","15","3","0","2","8","8","5","13","1","1","0","",".253",".324",".423",".747",".317","","100","0.1","0.3","","0.0","-0.1","0.2","","598.7","19844"
"Yolmer Sanchez","","37","154","139","35","7","2","2","14","14","11","32","2","2","1","",".248",".310",".365",".675",".291","","81","0.1","-0.1","","-3.9","0.7","0.2","","999.0","11602"
"Dawel Lugo","Tigers","34","140","131","35","6","1","3","14","15","5","24","1","1","1","",".268",".299",".403",".703",".296","","81","-0.1","-0.3","","-3.4","0.2","0.2","","599.2","14713"
"Michael Brosseau","","15","60","55","14","3","0","2","7","7","4","13","1","1","0","",".251",".307",".412",".719",".305","","92","0.1","-0.2","","-0.6","0.1","0.2","","999.0","19683"
"Matt Duffy","","16","67","59","17","3","0","1","7","7","6","11","1","1","0","",".281",".351",".397",".748",".323","","92","-0.1","-0.5","","-0.8","-0.1","0.1","","601.0","13836"
"Greg Garcia","Padres","36","149","127","31","6","1","2","16","12","18","33","2","1","0","",".242",".345",".346",".691",".306","","89","0.3","-0.1","","-1.9","-1.7","0.1","","999.0","10951"
"Jung Ho Kang","","11","46","41","10","2","0","2","5","6","4","13","0","0","0","",".238",".303",".457",".760",".318","","96","0.0","-0.4","","-0.3","-0.2","0.1","","999.0","17182"
"Matt Thaiss","Angels","34","135","120","29","6","0","4","15","16","12","31","1","1","0","",".240",".312",".402",".714",".305","","91","-0.1","0.5","","-1.6","-2.2","0.1","","600.8","19318"
"Isiah Kiner-Falefa","Rangers","44","174","157","40","8","1","2","18","17","13","31","2","3","1","",".257",".320",".363",".684",".296","","74","0.0","0.0","","-5.9","1.2","0.1","","521.1","16512"
"Matt Reynolds","Royals","19","80","71","17","4","0","1","8","8","7","20","1","1","0","",".242",".317",".371",".688",".297","","81","0.0","-0.5","","-1.9","0.0","0.1","","999.0","13788"
"Christian Arroyo","Indians","26","104","95","24","5","0","3","11","12","6","23","1","1","0","",".248",".301",".396",".697",".297","","79","0.0","-0.5","","-2.8","0.0","0.1","","999.0","16434"
"Ty France","Padres","8","34","31","8","2","0","1","4","4","2","7","1","0","0","",".260",".323",".446",".769",".325","","101","0.0","0.1","","0.0","-0.4","0.1","","594.9","17982"
"Luis Guillorme","Mets","31","124","110","27","5","0","2","12","12","12","20","1","1","1","",".250",".323",".349",".673",".294","","84","0.1","-0.4","","-2.5","-1.0","0.1","","999.0","16451"
"Cheslor Cuthbert","","15","60","55","14","3","0","2","7","7","4","14","1","0","0","",".247",".306",".414",".720",".305","","90","-0.2","-0.4","","-0.9","-0.8","0.0","","999.0","10473"
"Taylor Ward","Angels","5","20","17","4","1","0","1","2","2","2","5","0","0","0","",".242",".325",".405",".730",".313","","96","0.0","0.0","","-0.1","-0.3","0.0","","999.0","17548"
"Eduardo Nunez","","15","60","57","15","3","0","2","6","7","2","9","0","1","0","",".260",".292",".400",".692",".293","","83","-0.1","-0.4","","-1.5","-0.2","0.0","","999.0","6848"
"Kelvin Gutierrez","","5","20","18","5","1","0","0","2","2","1","5","0","0","0","",".258",".312",".387",".699",".300","","83","0.0","0.0","","-0.4","0.0","0.0","","999.0","17468"
"Andrew Velazquez","Orioles","37","154","142","34","6","1","4","16","16","9","40","1","5","2","",".239",".286",".373",".659",".281","","71","0.2","-0.6","","-5.6","0.3","0.0","","999.0","14196"
"Yu-Cheng Chang","","16","67","60","14","3","0","2","7","7","5","17","1","1","0","",".229",".296",".383",".679",".290","","74","0.0","-0.4","","-2.2","0.0","0.0","","999.0","14773"
"Alex Blandino","Reds","11","47","40","9","2","0","1","5","4","5","13","1","0","0","",".225",".324",".353",".678",".298","","79","0.0","-0.6","","-1.3","-0.1","0.0","","999.0","16271"
"Ryon Healy","","5","20","19","5","1","0","1","2","3","1","5","0","0","0","",".257",".303",".464",".768",".320","","95","-0.1","-0.3","","-0.2","-0.3","0.0","","599.4","15447"
"David Freese","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".346",".447",".793",".337","","108","0.0","0.0","","0.0","0.0","0.0","","999.0","9549"
"Yangervis Solarte","","3","13","12","3","1","0","0","1","2","1","2","0","0","0","",".253",".306",".422",".728",".307","","86","-0.1","-0.1","","-0.3","-0.1","0.0","","999.0","5352"
"Adrian Beltre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".303",".399",".702",".298","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","639"
"David Wright","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".317",".407",".724",".310","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","3787"
"Christian Villanueva","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".295",".426",".720",".304","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","11738"
"Colin Walsh","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".326",".341",".667",".296","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","10961"
"Andrew Burns","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".303",".390",".693",".297","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","12779"
"Zach Green","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".284",".401",".685",".289","","80","0.0","0.0","","0.0","0.0","0.0","","600.5","14973"
"Jae-Gyun Hwang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".299",".394",".694",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","19369"
"Mitch Walding","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".301",".360",".660",".287","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","13006"
"Martin Prado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".308",".374",".682",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","3312"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".312",".423",".735",".311","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","6364"
"Luis Valbuena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".292",".401",".693",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","4969"
"Chase Headley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".305",".354",".659",".286","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","4720"
"Ryan Flaherty","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".303",".364",".667",".286","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","7888"
"Cory Spangenberg","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".293",".373",".667",".285","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","12294"
"Jose Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".301",".369",".670",".288","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","1736"
"Conor Gillaspie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".285",".391",".676",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","9009"
"Jason Rogers","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".320",".392",".712",".306","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","11773"
"Chris Coghlan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".302",".377",".679",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","6878"
"Jesmuel Valentin","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".297",".341",".638",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","14548"
"Jack Reinheimer","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".297",".325",".622",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","14938"
"Rob Segedin","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".285",".375",".661",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","11446"
"Stephen Drew","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".285",".381",".666",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","4251"
"Ryan Schimpf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".276",".372",".648",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9953"
"Trevor Plouffe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".282",".363",".646",".277","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","7462"
"Juniel Querecuto","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".289",".348",".637",".273","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12140"
"Matt Dominguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".274",".367",".641",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","4903"
