"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Tucker Barnhart","Reds","83","325","284","68","14","1","8","32","33","34","67","2","1","1","",".238",".321",".377",".698",".298","","79","-1.5","2.8","","-10.7","9.7","0.8","","508.2","10200"
"Kyle Higashioka","Yankees","33","131","119","26","5","0","6","15","17","9","34","1","1","0","",".222",".279",".420",".698",".293","","81","0.1","-0.2","","-3.2","2.5","0.7","","595.6","5517"
"Robinson Chirinos","Rangers","89","343","292","66","14","1","13","41","41","37","99","9","2","1","",".225",".327",".416",".743",".319","","89","-1.4","-1.0","","-6.4","6.4","0.6","","308.8","3142"
"Russell Martin","","27","109","92","21","4","0","4","12","12","14","27","2","1","0","",".225",".336",".383",".719",".312","","92","-0.4","-0.1","","-1.6","2.1","0.6","","999.0","4616"
"Curt Casali","Reds","60","241","213","50","10","0","8","25","28","22","57","2","1","0","",".236",".313",".397",".710",".303","","82","-0.2","0.0","","-5.8","4.5","0.6","","596.0","12510"
"Kurt Suzuki","Nationals","65","261","236","63","12","0","11","30","37","16","35","6","1","0","",".267",".326",".460",".787",".331","","100","-0.8","-2.1","","-0.6","3.3","0.6","","304.7","8259"
"Omar Narvaez","Brewers","84","339","296","77","12","1","11","36","41","36","63","3","1","0","",".261",".344",".415",".759",".326","","98","-0.6","-2.7","","-1.5","4.3","0.6","","191.3","13338"
"Cam Gallagher","Royals","27","106","95","24","5","0","2","11","11","8","19","1","1","0","",".249",".310",".372",".683",".294","","79","-0.2","0.0","","-3.0","2.3","0.5","","600.9","12981"
"Francisco Cervelli","Marlins","62","260","223","52","10","1","6","26","26","28","62","6","2","1","",".236",".335",".370",".706",".309","","93","-0.6","-0.5","","-3.1","0.7","0.5","","600.0","5275"
"Austin Allen","Athletics","47","187","171","41","9","0","6","21","22","12","42","2","1","0","",".242",".295",".401",".695",".292","","83","0.1","-0.6","","-4.0","3.0","0.5","","570.6","18083"
"Pedro Severino","Orioles","68","259","233","57","10","0","8","29","29","19","55","3","3","1","",".244",".306",".402",".708",".301","","84","-0.2","-0.2","","-5.5","5.4","0.4","","529.2","14523"
"Tony Wolters","Rockies","90","351","306","77","16","2","4","33","32","34","62","5","1","1","",".251",".334",".362",".696",".300","","68","0.0","2.4","","-14.7","9.9","0.4","","573.0","11470"
"Sandy Leon","Indians","47","182","165","36","7","0","4","18","19","13","47","2","1","0","",".217",".278",".346",".624",".269","","60","-0.4","0.5","","-9.7","4.4","0.4","","600.9","5273"
"Luke Maile","Pirates","59","227","206","45","9","1","4","20","21","16","59","2","2","1","",".218",".277",".334",".612",".265","","61","0.2","0.4","","-11.6","5.3","0.4","","999.0","13355"
"Chance Sisco","Orioles","72","290","253","60","11","0","10","32","33","26","81","7","1","1","",".238",".325",".401",".726",".313","","92","-0.1","-0.7","","-3.1","5.4","0.4","","555.6","15694"
"Dustin Garneau","Astros","33","130","116","24","5","0","4","15","15","10","35","2","1","0","",".209",".282",".369",".651",".279","","74","-0.1","0.4","","-4.3","3.1","0.3","","999.0","9433"
"Kevin Plawecki","Red Sox","24","96","85","21","5","0","2","11","11","8","20","2","1","0","",".246",".319",".393",".712",".305","","84","-0.2","0.0","","-2.2","1.7","0.3","","600.5","13807"
"Willians Astudillo","Twins","20","83","78","23","4","0","3","10","11","3","5","1","1","0","",".296",".326",".460",".786",".330","","105","-0.1","0.0","","0.4","0.0","0.3","","573.1","15608"
"Stephen Vogt","Diamondbacks","64","263","238","59","14","1","10","30","34","20","60","2","2","1","",".246",".306",".439",".745",".313","","90","-0.5","-1.0","","-4.0","0.6","0.3","","568.0","5000"
"Jonathan Lucroy","Red Sox","26","102","91","24","5","0","2","12","12","8","16","1","0","0","",".262",".327",".403",".730",".312","","88","-0.5","0.3","","-2.0","2.5","0.3","","599.9","7870"
"James McCann","White Sox","48","197","179","43","8","0","6","21","23","13","54","2","1","1","",".238",".298",".391",".689",".294","","83","-0.6","1.4","","-4.9","3.2","0.3","","418.7","12859"
"Michael Perez","Rays","39","153","138","31","6","0","4","16","16","12","39","1","1","0","",".229",".295",".373",".668",".287","","79","0.0","0.2","","-4.1","3.4","0.3","","999.0","12977"
"Garrett Stubbs","","32","131","117","27","6","0","3","14","13","11","27","1","3","1","",".231",".302",".352",".654",".284","","77","0.2","0.0","","-3.6","2.6","0.2","","599.6","18067"
"Tyler Heineman","","20","81","73","18","4","0","2","8","8","6","15","1","1","0","",".246",".309",".372",".680",".292","","82","0.0","0.1","","-2.0","1.7","0.2","","600.9","13897"
"Jake Rogers","","32","131","116","24","5","1","5","14","14","11","38","2","1","0","",".210",".286",".377",".664",".284","","73","0.0","0.0","","-4.5","2.7","0.2","","600.7","19452"
"Rob Brantly","","24","100","91","22","4","1","2","9","10","6","18","1","0","0","",".245",".302",".365",".667",".285","","77","0.0","0.1","","-3.1","2.1","0.2","","601.0","10655"
"Tomas Nido","Mets","39","155","143","33","7","0","4","14","16","8","36","1","1","0","",".227",".270",".356",".626",".265","","65","-0.1","-1.5","","-7.2","1.8","0.2","","600.8","13755"
"Jonah Heim","Athletics","15","61","56","13","3","0","1","6","6","4","10","0","0","0","",".238",".294",".357",".651",".280","","75","0.0","0.0","","-2.0","1.3","0.1","","999.0","sa737843"
"Grayson Greiner","Tigers","36","143","128","29","6","1","3","14","14","11","39","1","0","0","",".225",".292",".359",".652",".281","","71","0.0","-0.3","","-5.3","2.7","0.1","","600.2","17062"
"John Ryan Murphy","","12","50","45","10","2","0","1","5","5","3","14","0","0","0","",".213",".269",".354",".623",".265","","61","0.0","0.0","","-2.5","1.0","0.1","","999.0","10346"
"Chris Iannetta","","12","50","43","9","2","0","2","6","6","6","15","1","0","0","",".218",".315",".404",".719",".305","","89","-0.3","-0.2","","-1.0","0.8","0.1","","601.0","8267"
"Rene Rivera","","12","50","45","10","2","0","2","5","6","3","15","1","0","0","",".212",".269",".384",".653",".276","","72","-0.2","0.2","","-2.0","1.2","0.1","","999.0","3648"
"Dom Nunez","Rockies","17","66","58","13","2","0","2","7","8","6","18","1","1","0","",".224",".305",".394",".700",".299","","67","0.1","-0.1","","-2.8","1.3","0.1","","600.0","15055"
"Isiah Kiner-Falefa","Rangers","44","174","157","40","8","1","2","18","17","13","31","2","3","1","",".257",".320",".363",".684",".296","","74","0.0","0.0","","-5.9","1.2","0.1","","521.1","16512"
"Matt Wieters","Cardinals","41","162","146","34","6","0","6","17","19","13","36","1","1","0","",".234",".300",".402",".701",".297","","84","-0.5","0.8","","-4.0","4.2","0.1","","588.0","4298"
"Chris Herrmann","","9","37","33","7","1","0","1","4","4","4","11","0","0","0","",".208",".296",".357",".653",".283","","77","0.0","0.2","","-1.1","0.9","0.1","","999.0","9284"
"Chad Wallach","Marlins","9","36","32","7","1","0","1","3","3","3","11","0","0","0","",".208",".283",".338",".621",".270","","67","0.0","0.0","","-1.6","0.8","0.1","","999.0","17161"
"Anthony Bemboom","","8","31","28","6","1","0","1","3","3","2","8","0","0","0","",".210",".276",".318",".594",".258","","59","0.0","0.1","","-1.6","0.7","0.1","","999.0","13854"
"Daulton Varsho","Diamondbacks","3","12","11","3","1","0","0","1","2","1","2","0","0","0","",".266",".323",".440",".764",".322","","96","0.0","0.0","","0.0","0.3","0.1","","999.0","sa3002838"
"Andrew Knizner","","12","50","45","12","2","0","1","5","6","3","8","1","0","0","",".263",".318",".411",".729",".310","","92","0.0","0.1","","-0.5","1.1","0.1","","600.8","19514"
"Alex Jackson","","8","31","28","6","1","0","1","3","4","2","10","1","0","0","",".207",".268",".402",".669",".281","","69","0.0","0.0","","-1.3","0.6","0.0","","999.0","17276"
"Bryan Holaday","","5","19","17","4","1","0","1","2","2","1","3","0","0","0","",".253",".316",".402",".718",".303","","86","0.0","0.1","","-0.4","0.5","0.0","","999.0","11287"
"Erik Kratz","","3","12","11","3","1","0","0","1","1","1","3","0","0","0","",".234",".290",".391",".681",".290","","78","0.0","0.0","","-0.4","0.2","0.0","","999.0","4403"
"David Freitas","","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".258",".326",".390",".716",".307","","86","0.0","0.0","","-0.2","0.2","0.0","","999.0","10619"
"Zack Collins","","8","32","27","6","1","0","1","4","4","4","10","0","0","0","",".214",".325",".395",".720",".310","","94","0.0","0.0","","-0.2","-0.3","0.0","","600.9","19181"
"Jose Trevino","Rangers","9","35","33","8","2","0","1","4","4","2","6","0","0","0","",".245",".283",".367",".650",".277","","60","-0.1","0.2","","-1.8","0.9","0.0","","999.0","16725"
"Eric Haase","Tigers","5","18","16","3","1","0","1","2","2","1","6","0","0","0","",".209",".272",".414",".686",".288","","76","0.0","0.0","","-0.5","0.4","0.0","","600.8","14111"
"Deivy Grullon","","3","12","11","3","0","0","1","1","2","1","4","0","0","0","",".232",".287",".422",".708",".298","","81","0.0","0.0","","-0.3","0.3","0.0","","600.1","15988"
"Aramis Garcia","Giants","5","18","17","4","1","0","1","2","2","1","6","0","0","0","",".212",".266",".353",".619",".264","","63","0.0","0.0","","-0.9","0.4","0.0","","999.0","16925"
"Kevan Smith","","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".262",".316",".395",".710",".304","","91","0.0","-0.1","","-0.2","0.2","0.0","","601.0","12284"
"Austin Wynns","Orioles","6","24","21","5","1","0","1","2","2","2","5","0","0","0","",".241",".300",".359",".660",".285","","73","0.0","0.0","","-0.8","0.5","0.0","","999.0","15271"
"Seby Zavala","","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".208",".266",".365",".630",".269","","66","0.0","0.0","","-0.5","0.2","0.0","","999.0","18887"
"Josh Phegley","","5","19","17","4","1","0","1","2","2","1","4","0","0","0","",".231",".287",".398",".685",".290","","76","0.0","0.0","","-0.6","0.4","0.0","","600.9","9308"
"Beau Taylor","","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".214",".307",".329",".637",".280","","67","0.0","0.0","","-0.5","0.3","0.0","","999.0","12384"
"Luis Torrens","Padres","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".240",".298",".366",".664",".285","","75","0.0","0.0","","-0.4","0.2","0.0","","999.0","15905"
"Tres Barrera","","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".243",".299",".369",".667",".287","","72","0.0","0.0","","-0.2","0.1","0.0","","999.0","19977"
"Raudy Read","","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".241",".283",".397",".679",".285","","71","0.0","0.0","","-0.2","0.1","0.0","","999.0","15766"
"Evan Gattis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".308",".474",".781",".325","","100","0.0","0.0","","0.0","0.0","0.0","","999.0","11003"
"Caleb Joseph","Blue Jays","3","12","11","2","1","0","0","1","1","1","3","0","0","0","",".214",".259",".344",".603",".257","","56","0.0","0.0","","-0.7","0.3","0.0","","999.0","7087"
"Brian McCann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".321",".421",".742",".316","","94","0.0","0.0","","0.0","0.0","0.0","","599.0","4810"
