Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Hunter Renfroe,Rays,133,560,508,117,23,1,30,69,82,41,163,5,4,2,,0.231,0.293,0.46,0.753,0.313,,97,-0.3,0,,-2.4,-6.6,1,15464
Willie Calhoun,Rangers,130,549,494,135,25,1,25,72,79,44,84,4,2,1,,0.273,0.335,0.483,0.818,0.342,,104,-0.3,-3.6,,2.7,-11.4,1,17838
Jesse Winker,Reds,91,394,340,95,18,1,14,51,47,44,63,5,2,1,,0.28,0.368,0.46,0.828,0.351,,114,-0.8,-3,,6.4,-8.5,1,13590
Alex Gordon,Royals,117,498,440,113,23,1,13,57,56,42,96,10,5,2,,0.257,0.334,0.406,0.74,0.317,,94,-0.9,3.3,,-4.5,-2.6,1,5209
David Dahl,Rockies,134,578,525,144,30,5,23,74,79,41,148,5,9,4,,0.275,0.331,0.479,0.81,0.338,,93,0.9,-4,,-4.2,-5,0.9,13744
Adam Haseley,Phillies,110,436,394,100,20,1,12,44,49,30,91,5,5,2,,0.254,0.314,0.403,0.716,0.305,,85,0.4,0.7,,-8.1,2.6,0.8,19878
D.J. Stewart,Orioles,87,356,311,79,15,1,14,42,44,35,77,5,6,3,,0.253,0.335,0.442,0.777,0.329,,103,0.2,-1.2,,1.5,-5.6,0.8,17766
Marwin Gonzalez,Twins,75,307,276,74,16,1,10,38,40,25,66,3,1,1,,0.269,0.334,0.444,0.777,0.328,,103,-0.3,-0.7,,0.9,-3.3,0.8,5497
Alex Dickerson,Giants,106,439,394,107,22,4,13,49,54,34,92,6,3,1,,0.272,0.336,0.448,0.784,0.33,,106,-0.2,-3.2,,3.2,-8.9,0.8,12649
Mike Yastrzemski,Giants,136,591,525,127,28,4,18,67,61,52,154,5,7,3,,0.243,0.315,0.414,0.73,0.309,,93,0.8,-1.5,,-5,-5.9,0.8,14854
Mike Tauchman,Yankees,107,422,374,92,19,2,11,50,47,40,94,3,8,3,,0.247,0.322,0.398,0.719,0.308,,91,0.1,0.9,,-4.9,-1.9,0.8,15274
Victor Reyes,Tigers,122,522,488,133,24,4,10,58,51,23,99,3,15,6,,0.273,0.308,0.4,0.707,0.3,,84,0.4,5,,-10.3,-0.2,0.8,15487
Jordan Luplow,Indians,68,282,247,62,13,1,11,36,38,29,64,3,4,2,,0.25,0.333,0.449,0.782,0.331,,102,0,1,,0.6,-3,0.7,16424
Tyler O'Neill,Cardinals,110,449,407,97,17,1,22,53,63,33,142,3,5,2,,0.237,0.297,0.449,0.746,0.312,,94,0.7,1.5,,-3.1,-4.4,0.7,15711
Austin Riley,Braves,58,237,216,54,11,1,12,28,35,16,69,2,1,0,,0.249,0.306,0.473,0.778,0.323,,96,0.1,-1.6,,-1.1,-0.6,0.6,18360
Derek Fisher,Blue Jays,96,389,339,78,15,2,15,47,46,41,122,3,9,4,,0.229,0.315,0.416,0.731,0.312,,93,0.4,0.6,,-3.1,-4.7,0.6,16192
Yoenis Cespedes,Mets,46,200,180,46,9,1,11,26,29,17,52,2,2,1,,0.254,0.321,0.487,0.808,0.335,,111,0.1,-0.5,,2.9,-3.5,0.6,13110
Chris Taylor,Dodgers,74,311,276,67,17,2,8,36,33,28,86,3,5,2,,0.243,0.318,0.405,0.723,0.308,,92,1.1,-0.2,,-2.2,-2.4,0.5,13757
Tony Kemp,Athletics,58,232,206,54,9,2,4,26,23,20,33,3,6,2,,0.26,0.33,0.38,0.71,0.306,,92,-0.2,-0.3,,-2.5,-0.4,0.5,14894
Jake Bauers,Indians,68,280,243,59,13,1,9,33,34,32,69,2,6,3,,0.242,0.333,0.417,0.75,0.322,,95,0.6,0,,-1,-4,0.5,15194
Christin Stewart,Tigers,115,494,434,106,21,2,19,59,60,49,118,5,1,1,,0.245,0.327,0.433,0.76,0.322,,98,-0.6,-4.4,,-1.6,-11.3,0.4,17714
Robbie Grossman,Athletics,45,190,162,41,9,1,4,23,19,25,35,1,2,1,,0.254,0.353,0.386,0.74,0.322,,103,-0.1,-0.9,,0.7,-3.2,0.4,5254
Chad Pinder,Athletics,42,174,158,39,8,0,6,21,22,11,45,2,1,0,,0.25,0.307,0.427,0.734,0.31,,95,-0.2,0.4,,-1.3,-0.9,0.4,15191
Matt Joyce,Marlins,66,268,226,54,11,0,9,31,29,37,58,2,2,1,,0.238,0.346,0.411,0.757,0.326,,104,-0.3,-1.3,,1.1,-5.9,0.4,3353
Cameron Maybin,,81,328,287,71,15,1,7,35,34,34,79,2,10,4,,0.248,0.33,0.382,0.713,0.309,,89,0.4,-0.5,,-4.1,-3.6,0.3,5223
Teoscar Hernandez,Blue Jays,113,475,424,98,21,3,22,58,62,42,147,3,7,3,,0.23,0.302,0.443,0.745,0.312,,94,0.2,-3.6,,-3.7,-10,0.3,13066
Matt Beaty,Dodgers,45,181,165,45,10,1,6,21,23,11,26,2,2,1,,0.275,0.327,0.444,0.771,0.325,,103,0,-0.2,,0.6,-3.8,0.3,17710
Austin Slater,Giants,51,209,183,46,9,1,5,22,21,20,57,3,3,1,,0.25,0.333,0.389,0.721,0.311,,94,0.3,-0.3,,-1.4,-3.3,0.2,16153
Josh Rojas,Diamondbacks,18,75,67,18,4,1,2,9,8,7,15,1,3,1,,0.265,0.335,0.426,0.76,0.324,,97,0,0.2,,-0.2,-0.5,0.2,19734
Garrett Stubbs,Astros,32,132,117,27,6,0,3,15,13,11,27,1,3,1,,0.231,0.302,0.351,0.653,0.283,,77,0.2,0,,-3.7,2.6,0.2,18067
